Year,India Population (Millions),India Growth Rate (%),Birth Rate (per 1000),Death Rate (per 1000),World Population (Millions),World Growth Rate (%)
1961,459.64,2.02,41.7,21.7,3072.0,1.3
1962,469.08,2.05,41.5,21.1,3125.0,1.72
1963,478.83,2.08,41.2,20.6,3190.0,2.08
1964,488.85,2.09,40.9,20.1,3255.0,2.05
1965,499.12,2.1,40.6,19.6,3322.0,2.06
1966,509.63,2.11,40.3,19.1,3392.0,2.11
1967,520.4,2.11,40.0,18.6,3462.0,2.05
1968,531.51,2.14,39.7,18.1,3533.0,2.06
1969,543.08,2.18,39.4,17.7,3607.0,2.09
1970,555.19,2.23,39.1,17.2,3682.0,2.09
1971,567.87,2.28,38.8,16.7,3761.0,2.13
1972,581.09,2.33,38.5,16.3,3837.0,2.03
1973,594.77,2.35,38.2,15.8,3913.0,1.98
1974,608.8,2.36,37.9,15.4,3988.0,1.93
1975,623.1,2.35,37.5,15.0,4063.0,1.86
1976,637.63,2.33,37.2,14.6,4135.0,1.8
1977,652.41,2.32,36.9,14.2,4208.0,1.75
1978,667.5,2.31,36.6,13.9,4281.0,1.75
1979,683.0,2.32,36.4,13.6,4357.0,1.76
1980,698.95,2.34,36.2,13.3,4433.0,1.75
1981,715.38,2.35,35.9,13.0,4511.0,1.76
1982,732.24,2.36,35.6,12.8,4592.0,1.8
1983,749.43,2.35,35.3,12.6,4674.0,1.78
1984,766.83,2.32,34.9,12.3,4756.0,1.75
1985,784.36,2.29,34.4,12.1,4839.0,1.75
1986,801.98,2.25,33.9,11.9,4925.0,1.77
1987,819.68,2.21,33.3,11.6,5013.0,1.78
1988,837.47,2.17,32.7,11.4,5101.0,1.77
1989,855.33,2.13,32.1,11.1,5190.0,1.74
1990,873.28,2.1,31.5,10.9,5280.0,1.74
1991,891.27,2.06,30.9,10.6,5368.0,1.67
1992,909.31,2.02,30.3,10.3,5453.0,1.57
1993,927.4,1.99,29.8,10.1,5538.0,1.56
1994,945.6,1.96,29.3,9.8,5622.0,1.52
1995,963.92,1.94,28.7,9.6,5707.0,1.51
1996,982.37,1.91,28.3,9.4,5790.0,1.45
1997,1000.9,1.89,27.8,9.2,5872.0,1.43
1998,1019.48,1.86,27.3,9.0,5954.0,1.39
1999,1038.06,1.82,26.9,8.8,6034.0,1.35
2000,1056.58,1.78,26.4,8.7,6114.0,1.32
2001,1075.0,1.74,25.9,8.6,6194.0,1.3
2002,1093.32,1.7,25.5,8.4,6273.0,1.28
2003,1111.52,1.67,25.0,8.3,6352.0,1.26
2004,1129.62,1.63,24.6,8.2,6432.0,1.25
2005,1147.61,1.59,24.1,8.1,6512.0,1.25
2006,1165.49,1.56,23.6,8.0,6593.0,1.24
2007,1183.21,1.52,23.0,7.8,6674.0,1.24
2008,1200.67,1.48,22.4,7.7,6757.0,1.24
2009,1217.73,1.42,21.8,7.6,6840.0,1.22
2010,1234.28,1.36,21.1,7.5,6922.0,1.2
2011,1250.29,1.3,20.5,7.4,7004.0,1.18
2012,1265.78,1.24,19.9,7.3,7089.0,1.22
2013,1280.84,1.19,19.4,7.3,7176.0,1.22
2014,1295.6,1.15,19.0,7.2,7262.0,1.2
2015,1310.15,1.12,18.6,7.2,7348.0,1.18
2016,1324.52,1.1,18.3,7.2,7434.0,1.17
2017,1338.68,1.07,18.1,7.2,7519.0,1.15
2018,1352.64,1.04,17.9,7.2,7603.0,1.11
2019,1366.42,1.02,17.6,7.3,7684.0,1.07
2020,1380.0,0.99,17.4,7.3,7764.0,1.04
2021,1393.41,0.97,,,7837.0,0.94
