Years_Since_1961,India Population (Millions),India Growth Rate (%),Birth Rate (per 1000),Death Rate (per 1000),World Population (Millions),World Growth Rate (%),Pop_Growth_Abs,Pop_Rolling_3yr,Pop_Rolling_5yr,Growth_Rate_Change,Natural_Increase_Rate,Birth_Rate_Trend,Death_Rate_Trend,World_Pop_Ratio,India_World_Growth_Diff,Urbanization_Rate,Urban_Pop_Millions,Rural_Pop_Millions,Urban_Rural_Ratio,Urb_Rate_Change,Infra_Pressure_Score,School_Pressure,Hospital_Pressure,Road_Pressure,Year
0,459.64,2.02,41.7,21.7,3072.0,1.3,0.0,459.64,459.64,0.0,20.000000000000004,41.7,21.7,0.14962239583333334,0.72,17.97,82.597308,377.042692,0.21848672054213392,0.0,47.221409030759084,16.74967587864581,15.074708290781228,32.98670168866306,1961
1,469.08,2.05,41.5,21.1,3125.0,1.72,9.439999999999998,464.36,464.36,0.029999999999999805,20.4,41.6,21.4,0.1501056,0.32999999999999985,18.163999999999998,85.2036912,383.8763088,0.22137941268885916,0.19399999999999906,47.96394354019977,17.27821700029529,15.55039530026576,33.664176373070376,1962
2,478.83,2.08,41.2,20.6,3190.0,2.08,9.75,469.18333333333334,469.18333333333334,0.03000000000000025,20.6,41.46666666666667,21.133333333333336,0.15010344827586206,0.0,18.358,87.90361139999999,390.9263886,0.22428602400057934,0.19400000000000261,48.717273892038314,17.825726227208698,16.043153604487827,34.363898637156325,1963
3,488.85,2.09,40.9,20.1,3255.0,2.05,10.020000000000039,478.92,474.1,0.009999999999999787,20.799999999999997,41.199999999999996,20.599999999999998,0.15018433179723503,0.040000000000000036,18.552,90.69145200000001,398.158548,0.22720658859596818,0.19399999999999906,49.31064640122163,18.391064584862313,16.551958126376082,35.0829978254785,1964
4,499.12,2.1,40.6,19.6,3322.0,2.06,10.269999999999982,488.9333333333334,479.104,0.010000000000000231,21.0,40.9,20.100000000000005,0.15024683925346177,0.040000000000000036,18.746,93.5650352,405.5549648,0.23014116983180424,0.19399999999999906,49.912934299091035,18.9737904433167,17.07641139898503,35.8200386103157,1965
5,509.63,2.11,40.3,19.1,3392.0,2.11,10.509999999999991,499.2,489.10200000000003,0.009999999999999787,21.199999999999996,40.6,19.599999999999998,0.15024469339622643,0.0,18.939999999999998,96.52392199999998,413.106078,0.23308984612391992,0.19399999999999906,50.52384161774471,19.573814778996056,17.61643330109645,36.574303327807314,1966
6,520.4,2.11,40.0,18.6,3462.0,2.05,10.769999999999982,509.7166666666667,499.366,0.0,21.4,40.300000000000004,19.100000000000005,0.15031773541305604,0.06000000000000005,19.134,99.573336,420.826664,0.23605273089137865,0.19400000000000261,51.05930265347512,20.19219687105897,18.172977183953076,37.347227305674565,1967
7,531.51,2.14,39.7,18.1,3533.0,2.06,11.110000000000014,520.5133333333333,509.90200000000004,0.03000000000000025,21.6,40.0,18.599999999999998,0.15044155108972546,0.08000000000000007,19.328,102.7302528,428.7797472,0.23902999959696566,0.19399999999999906,51.86094122490362,20.832379153704938,18.749141238334445,38.144551854802245,1968
8,543.08,2.18,39.4,17.7,3607.0,2.09,11.57000000000005,531.6633333333333,520.748,0.040000000000000036,21.7,39.699999999999996,18.133333333333336,0.15056279456612146,0.0900000000000003,19.522,106.02007760000001,437.0599224,0.24202186088868285,0.19399999999999906,52.763225778045815,21.49951347601882,19.349562128416938,38.97488894151757,1969
9,555.19,2.23,39.1,17.2,3682.0,2.09,12.110000000000014,543.2600000000001,531.962,0.04999999999999982,21.900000000000002,39.4,17.666666666666668,0.15078489951113527,0.14000000000000012,19.716,109.46126040000001,445.72873960000004,0.24502847185970483,0.19400000000000261,53.7688269796187,22.197341261631045,19.97760713546794,39.84397987670535,1970
10,567.87,2.28,38.8,16.7,3761.0,2.13,12.67999999999995,555.38,543.61,0.04999999999999982,22.099999999999998,39.1,17.2,0.15098909864397767,0.1499999999999999,19.91,113.062917,454.80708300000003,0.24804993431837474,0.19399999999999906,54.79404512028853,22.927711077995827,20.634939970196243,40.75397765194737,1971
11,581.09,2.33,38.5,16.3,3837.0,2.03,13.220000000000027,568.0500000000001,555.748,0.050000000000000266,22.2,38.800000000000004,16.733333333333334,0.1514438363304665,0.30000000000000027,20.253,117.6881577,463.4018423,0.25341880022942365,0.34299999999999997,55.98182864089146,23.865650636337378,21.47908557270364,41.702729275661866,1972
12,594.77,2.35,38.2,15.8,3913.0,1.98,13.67999999999995,581.2433333333333,568.4000000000001,0.020000000000000018,22.400000000000002,38.5,16.266666666666666,0.15199846664962943,0.3700000000000001,20.596,122.4988292,472.2711708,0.25883433591133925,0.34299999999999997,56.9323401874558,24.841193185298398,22.35707386676856,42.68449343696399,1973
13,608.8,2.36,37.9,15.4,3988.0,1.93,14.029999999999973,594.8866666666667,581.544,0.009999999999999787,22.5,38.199999999999996,15.833333333333334,0.15265797392176528,0.42999999999999994,20.939,127.476632,481.32336799999996,0.26429702655418513,0.34299999999999997,57.81154247400277,25.850627820720362,23.265565038648326,43.691375833387156,1974
14,623.1,2.35,37.5,15.0,4063.0,1.86,14.300000000000068,608.89,595.126,-0.009999999999999787,22.5,37.86666666666667,15.4,0.15335958651242926,0.49,21.282,132.60814200000002,490.491858,0.26980740340158393,0.34299999999999997,58.532120989916706,26.89123230710423,24.202109076393807,44.71763515404655,1975
15,637.63,2.33,37.2,14.6,4135.0,1.8,14.529999999999973,623.1766666666666,609.078,-0.020000000000000018,22.6,37.53333333333333,15.0,0.1542031438935913,0.53,21.625,137.88748750000002,499.7425125,0.2753660495322934,0.34299999999999997,59.177554165178925,27.961815938914448,25.165634345023,45.76040074349976,1976
16,652.41,2.32,36.9,14.2,4208.0,1.75,14.779999999999973,637.7133333333333,623.342,-0.010000000000000231,22.7,37.199999999999996,14.6,0.1550403992395437,0.5699999999999998,21.968,143.3214288,509.08857119999993,0.2809736129998594,0.34299999999999997,59.9180447465248,29.063749618382396,26.157374656544157,46.82110792946799,1977
17,667.5,2.31,36.6,13.9,4281.0,1.75,15.090000000000032,652.5133333333333,637.8879999999999,-0.009999999999999787,22.700000000000003,36.9,14.233333333333334,0.15592151366503154,0.56,22.311,148.925925,518.574075,0.2866307850329138,0.34299999999999997,60.67089299461013,30.20026964653031,27.180242681877278,47.90406269511486,1978
18,683.0,2.32,36.4,13.6,4357.0,1.76,15.5,667.6366666666667,652.7280000000001,0.009999999999999787,22.799999999999997,36.63333333333333,13.9,0.15675923800780353,0.5599999999999998,22.654,154.72682,528.27318,0.2923382968318931,0.34299999999999997,61.60898517148348,31.37661683518272,28.23895515166445,49.016441679046366,1979
19,698.95,2.34,36.2,13.3,4433.0,1.75,15.950000000000045,683.1500000000001,667.8979999999999,0.020000000000000018,22.900000000000002,36.4,13.6,0.1576697496052335,0.5899999999999999,22.997,160.73753150000002,538.2124685,0.2980968373137685,0.34299999999999997,62.648995870376076,32.595512122000656,29.335960909800587,50.16111553670491,1980
20,715.38,2.35,35.9,13.0,4511.0,1.76,16.42999999999995,699.11,683.4480000000001,0.010000000000000231,22.9,36.166666666666664,13.300000000000002,0.15858567945023277,0.5900000000000001,23.34,166.969692,548.410308,0.3039070974256275,0.34299999999999997,63.62253065469409,33.85931442895597,30.473382986060376,51.340237259672314,1981
21,732.24,2.36,35.6,12.8,4592.0,1.8,16.860000000000014,715.5233333333334,699.414,0.009999999999999787,22.8,35.9,13.033333333333333,0.15945993031358885,0.5599999999999998,23.561,172.52306639999998,559.7169336000001,0.30768299664563575,0.22100000000000009,64.4912252999957,34.98546761100361,31.486920849903246,52.55021852864555,1982
22,749.43,2.35,35.3,12.6,4674.0,1.78,17.18999999999994,732.3499999999999,715.8,-0.009999999999999787,22.699999999999996,35.6,12.799999999999999,0.16034017971758663,0.5700000000000001,23.782,178.2294426,571.2005574,0.3114807217417786,0.22100000000000009,65.20300426332145,36.142647597930285,32.528382838137254,53.78388270501861,1983
23,766.83,2.32,34.9,12.3,4756.0,1.75,17.40000000000009,749.5,732.566,-0.03000000000000025,22.599999999999998,35.26666666666667,12.566666666666668,0.16123423044575275,0.5699999999999998,24.003,184.06220489999998,582.7677951000001,0.3153003753289781,0.22100000000000009,65.75388302584273,37.32545706675928,33.59291136008335,55.03261782246432,1984
24,784.36,2.29,34.4,12.1,4839.0,1.75,17.529999999999973,766.8733333333333,749.6479999999999,-0.029999999999999805,22.299999999999997,34.86666666666667,12.333333333333334,0.1620913411861955,0.54,24.224,190.0033664,594.3566336,0.3191421001746272,0.22100000000000009,66.31069183734105,38.530248504607215,34.677223654146495,56.290682570097815,1985
25,801.98,2.25,33.9,11.9,4925.0,1.77,17.620000000000005,784.39,766.9680000000001,-0.040000000000000036,22.0,34.4,12.1,0.16283857868020304,0.48,24.445,196.04401099999998,605.9359890000001,0.32300607403921794,0.22100000000000009,66.78735586584229,39.75521384062146,35.77969245655931,57.555206292476726,1986
26,819.68,2.21,33.3,11.6,5013.0,1.78,17.699999999999932,802.0066666666667,784.456,-0.040000000000000036,21.699999999999996,33.86666666666667,11.866666666666667,0.1635108717334929,0.42999999999999994,24.666,202.18226879999997,617.4977312,0.326892498712532,0.22100000000000009,67.26829588933765,40.99997388303797,36.89997649473417,58.825471325740445,1987
27,837.47,2.17,32.7,11.4,5101.0,1.77,17.790000000000077,819.71,802.0640000000001,-0.040000000000000036,21.300000000000004,33.300000000000004,11.633333333333333,0.1641776122328955,0.3999999999999999,24.887,208.42115890000002,629.0488411,0.33080159077210314,0.22100000000000009,67.75386019685156,42.26514086665798,38.038626779992185,60.10219533374958,1988
